epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.656,1.41511,3.04075,1.74219,0.74554,0.44639,0.52784,0.31989,1.51765,3.10257,1.70891,0.000471041,0.000471041,0.000471041
2,583.067,1.4448,2.39837,1.70605,0.63267,0.52485,0.62108,0.36386,1.48597,2.35426,1.76058,0.000853584,0.000853584,0.000853584
3,866.86,1.4964,2.1031,1.7176,0.70595,0.61163,0.66365,0.40732,1.36299,2.38949,1.46362,0.00114181,0.00114181,0.00114181
4,1152.73,1.41532,1.7803,1.64711,0.63773,0.5909,0.61431,0.42842,1.29736,1.88871,1.37375,0.00100459,0.00100459,0.00100459
5,1437.17,1.3517,1.63539,1.57777,0.61027,0.68832,0.71563,0.4663,1.28518,1.47735,1.38684,0.000863116,0.000863116,0.000863116
6,1718.91,1.26922,1.44574,1.51579,0.70917,0.67181,0.6918,0.45472,1.29458,1.39271,1.42389,0.000721645,0.000721645,0.000721645
7,2004.28,1.18676,1.33764,1.44642,0.78252,0.68961,0.74457,0.53601,1.02045,1.10584,1.15326,0.000580174,0.000580174,0.000580174
8,2297.71,1.13423,1.21965,1.39779,0.72338,0.7642,0.7724,0.5332,0.98252,1.0958,1.09491,0.000438703,0.000438703,0.000438703
9,2597.23,1.08282,1.12285,1.3413,0.78807,0.64985,0.77216,0.56874,0.93848,1.05441,1.06643,0.000297232,0.000297232,0.000297232
10,2883.7,1.03656,1.06447,1.32875,0.76267,0.71943,0.78549,0.60021,0.86099,0.96,1.01818,0.000155761,0.000155761,0.000155761
